@relation blinks3
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute clase {0, 1, 2}
@data
0.00010739,0.01235,0.047466,0.017719,0.033076,0.073668,0.10599,0.10599,0.14347,0.15722,0.070662,0.072809,0.052083,0.042848,0.019437,0.018149,0.011276,0.0098797,0.005799,0,0.00010739,0.024162,0.042204,0.021907,0.070876,0.08924,0.12274,0.12597,0.17687,0.10588,0.10352,0.058097,0.029961,0.013316,0.011276,0.003866,0,0,0,0,0.00021478,0.017934,0.044781,0.022981,0.071628,0.093106,0.12285,0.12683,0.18428,0.15174,0.081078,0.045318,0.019008,0.013746,0.0045103,0,0,0,0,0,0
0.00010794,0.012845,0.046308,0.017595,0.03206,0.074482,0.1032,0.10946,0.13828,0.14961,0.070596,0.070704,0.061205,0.047712,0.01997,0.016947,0.01263,0.011226,0.0048575,0.00021589,0.00010794,0.024396,0.04307,0.02256,0.066062,0.09294,0.12057,0.11712,0.17152,0.10805,0.10773,0.065199,0.030225,0.014896,0.010794,0.0047496,0,0,0,0,0.00021589,0.018243,0.041991,0.02418,0.065415,0.090674,0.12252,0.125,0.18858,0.14842,0.095099,0.044041,0.017811,0.013817,0.003994,0,0,0,0,0,0
0.00010851,0.011719,0.047309,0.019206,0.033312,0.072917,0.10189,0.11437,0.13932,0.14605,0.071832,0.069444,0.058485,0.047418,0.020291,0.017578,0.012044,0.011068,0.0056424,0,0.00010851,0.021484,0.045139,0.022352,0.066515,0.090169,0.12316,0.12359,0.16764,0.10796,0.1046,0.06467,0.03201,0.014865,0.012044,0.0036892,0,0,0,0,0.00021701,0.012912,0.043945,0.028212,0.061632,0.095161,0.12261,0.13281,0.18088,0.14876,0.092339,0.044054,0.018555,0.014865,0.0030382,0,0,0,0,0,0
0,0.016084,0.044581,0.019538,0.032491,0.07092,0.10805,0.10902,0.13774,0.15004,0.073187,0.068545,0.056887,0.0462,0.021265,0.016839,0.011982,0.010579,0.005937,0.00010794,0.00010794,0.0231,0.045229,0.022129,0.067897,0.092185,0.11874,0.12489,0.16516,0.11334,0.10298,0.064227,0.029145,0.014896,0.01263,0.0033463,0,0,0,0,0,0.017487,0.041667,0.027634,0.064875,0.091537,0.13148,0.12608,0.1834,0.15134,0.088515,0.040587,0.018351,0.015004,0.0020509,0,0,0,0,0,0
0,0.021373,0.041019,0.018027,0.035622,0.072107,0.10741,0.10805,0.14195,0.14842,0.071351,0.066278,0.058614,0.046632,0.01889,0.017271,0.010902,0.010794,0.0052893,0,0,0.025799,0.041667,0.02677,0.064119,0.094452,0.11982,0.12802,0.1685,0.10848,0.10168,0.063364,0.02785,0.014573,0.012198,0.0026986,0,0,0,0,0.00021589,0.01943,0.042206,0.028174,0.066278,0.089594,0.12414,0.12997,0.19247,0.14411,0.088515,0.041667,0.015868,0.015328,0.0020509,0,0,0,0,0,0
0,0.021805,0.040911,0.019322,0.038536,0.071999,0.11086,0.10697,0.14529,0.1467,0.068761,0.065307,0.059046,0.041559,0.020402,0.016947,0.010687,0.010794,0.0041019,0,0,0.024935,0.044581,0.026123,0.065846,0.097798,0.12381,0.12122,0.17228,0.10525,0.10266,0.061528,0.024503,0.015436,0.012198,0.0018351,0,0,0,0,0.00064767,0.02677,0.038428,0.026986,0.065954,0.087543,0.12295,0.12921,0.18869,0.15145,0.08668,0.041775,0.016731,0.01468,0.0015112,0,0,0,0,0,0
0.00032552,0.022135,0.040582,0.021376,0.038628,0.06901,0.11035,0.11035,0.14106,0.15007,0.072374,0.065104,0.05447,0.042643,0.019206,0.016385,0.010959,0.010851,0.0041233,0,0.00032552,0.02615,0.043294,0.027452,0.065104,0.096029,0.12956,0.11589,0.17828,0.10796,0.09885,0.058268,0.024197,0.014106,0.012587,0.0019531,0,0,0,0,0.00021701,0.029622,0.035807,0.031141,0.064779,0.08941,0.12847,0.12381,0.19358,0.14876,0.082574,0.039497,0.015842,0.013997,0.0024957,0,0,0,0,0,0
0.00032383,0.021697,0.041559,0.021697,0.035082,0.072431,0.1087,0.11464,0.13806,0.15274,0.074806,0.064011,0.055484,0.039508,0.018135,0.016084,0.011658,0.010794,0.0025907,0,0,0.026554,0.045337,0.026231,0.063364,0.099957,0.12878,0.11582,0.17627,0.11237,0.09769,0.055268,0.025691,0.013709,0.011118,0.0018351,0,0,0,0,0.00032383,0.027418,0.038212,0.029253,0.067142,0.088191,0.13148,0.12468,0.18804,0.14875,0.084953,0.039508,0.017703,0.013817,0.00053972,0,0,0,0,0,0
0.00010851,0.020616,0.042752,0.02181,0.037652,0.071832,0.11523,0.11686,0.1352,0.15072,0.074219,0.063911,0.053168,0.034722,0.019423,0.016059,0.012695,0.0099826,0.0030382,0,0,0.023872,0.049045,0.027452,0.064345,0.10211,0.12663,0.12164,0.17676,0.10417,0.099609,0.053928,0.02322,0.014214,0.011502,0.0015191,0,0,0,0,0.00021701,0.025608,0.041016,0.029948,0.07053,0.093641,0.13032,0.12153,0.19846,0.13477,0.085829,0.036675,0.017795,0.013455,0.00021701,0,0,0,0,0,0
0,0.022569,0.040039,0.025608,0.039931,0.069661,0.11882,0.11198,0.13694,0.15734,0.070313,0.061957,0.052192,0.03342,0.018772,0.016493,0.010634,0.011285,0.0020616,0,0,0.026801,0.046332,0.027561,0.068468,0.098958,0.12869,0.12153,0.18056,0.10525,0.095595,0.051324,0.022461,0.014214,0.011285,0.00097656,0,0,0,0,0.00010851,0.027018,0.039714,0.03342,0.073134,0.086589,0.13704,0.12901,0.19466,0.12826,0.080512,0.041016,0.015299,0.01378,0.00043403,0,0,0,0,0,0
