@relation blinks6
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute clase {0, 1, 2}
@data
0.015322,0.07707,0.094844,0.092163,0.14954,0.10465,0.076687,0.077913,0.078679,0.059603,0.031027,0.030568,0.022983,0.023136,0.018693,0.014173,0.012334,0.014403,0.0058224,0.00038305,0.023596,0.13468,0.14357,0.15583,0.10243,0.083506,0.068413,0.066728,0.072474,0.040987,0.024362,0.024822,0.022753,0.014633,0.014862,0.0062821,7.6611e-05,0,0,0,0.076917,0.19605,0.18387,0.094001,0.0773,0.055849,0.071325,0.055696,0.07753,0.028576,0.019383,0.032713,0.020532,0.010189,7.6611e-05,0,0,0,0,0,0
0.01379,0.076228,0.097602,0.093159,0.14403,0.10565,0.079369,0.076304,0.079445,0.058148,0.032406,0.030261,0.024822,0.023213,0.01808,0.015399,0.013483,0.012334,0.0062821,0,0.024056,0.13254,0.14564,0.15537,0.10342,0.080594,0.072397,0.06328,0.073316,0.04091,0.025205,0.024822,0.02329,0.014633,0.01356,0.0069716,0,0,0,0,0.075385,0.207,0.17797,0.091856,0.074389,0.05991,0.065885,0.056769,0.078909,0.029495,0.021528,0.029648,0.024056,0.0072014,0,0,0,0,0,0,0
0.013177,0.076534,0.093082,0.098368,0.1366,0.10986,0.078449,0.07799,0.081054,0.058224,0.033785,0.030568,0.024132,0.022141,0.019153,0.015322,0.012104,0.0131,0.0062821,7.6611e-05,0.022677,0.13323,0.14472,0.15383,0.10342,0.08228,0.071095,0.065502,0.07301,0.041523,0.025205,0.025511,0.022677,0.014096,0.01379,0.0072014,0.00022983,0,0,0,0.076228,0.19781,0.17498,0.10136,0.074006,0.055619,0.065119,0.064047,0.076917,0.030491,0.02237,0.031104,0.021911,0.0080441,0,0,0,0,0,0,0
0.015552,0.081514,0.091243,0.092316,0.1425,0.10902,0.074772,0.075691,0.086034,0.056079,0.032943,0.029802,0.023673,0.022217,0.019306,0.015629,0.012411,0.012947,0.0062821,7.6611e-05,0.023443,0.13568,0.14556,0.15284,0.10189,0.080824,0.069179,0.066728,0.073929,0.04091,0.025588,0.025282,0.0226,0.014633,0.01379,0.0069716,0.00015322,0,0,0,0.088562,0.21007,0.1667,0.093465,0.068796,0.057841,0.067877,0.056386,0.078832,0.028652,0.021987,0.030721,0.0226,0.0075079,0,0,0,0,0,0,0
0.0093465,0.079982,0.096146,0.09584,0.14058,0.10565,0.079445,0.074083,0.082203,0.058377,0.033939,0.03141,0.023443,0.022524,0.018463,0.015935,0.012411,0.014096,0.0060522,7.6611e-05,0.017391,0.14112,0.14441,0.15789,0.10044,0.077913,0.06826,0.065119,0.074312,0.043208,0.025818,0.026431,0.021757,0.014403,0.01425,0.0072014,7.6611e-05,0,0,0,0.067188,0.20731,0.1867,0.089252,0.075385,0.056386,0.064813,0.061595,0.0773,0.031104,0.022141,0.032177,0.021451,0.0071248,7.6611e-05,0,0,0,0,0,0
0.0077377,0.084502,0.09538,0.095687,0.13928,0.11055,0.075232,0.077377,0.079905,0.058301,0.034475,0.029572,0.023673,0.021757,0.018693,0.015399,0.013254,0.01356,0.0055926,7.6611e-05,0.017697,0.14671,0.14403,0.15506,0.099671,0.07776,0.065579,0.067647,0.073393,0.043285,0.026814,0.025052,0.020838,0.015552,0.014633,0.0062055,7.6611e-05,0,0,0,0.073623,0.20869,0.18333,0.089252,0.075921,0.057075,0.062668,0.059833,0.075155,0.031181,0.0226,0.032177,0.021757,0.0066651,7.6611e-05,0,0,0,0,0,0
0.0078143,0.085268,0.093848,0.093312,0.14342,0.10557,0.079599,0.076228,0.081744,0.056156,0.034015,0.031334,0.023673,0.021528,0.01854,0.016395,0.011721,0.01425,0.0055926,0,0.015552,0.14794,0.13821,0.15475,0.10189,0.079675,0.067341,0.069333,0.073623,0.042902,0.025741,0.024439,0.022983,0.013713,0.015169,0.0066651,7.6611e-05,0,0,0,0.067954,0.20225,0.18793,0.092929,0.076534,0.057228,0.065272,0.05968,0.076458,0.033096,0.021604,0.032636,0.019459,0.006895,7.6611e-05,0,0,0,0,0,0
0.011185,0.084655,0.094997,0.09584,0.13813,0.1081,0.075615,0.078756,0.080441,0.058224,0.032636,0.028729,0.024132,0.022064,0.019229,0.016395,0.012028,0.012488,0.0063587,0,0.020302,0.14908,0.14487,0.14794,0.099594,0.078296,0.069256,0.066575,0.076381,0.039455,0.025665,0.023596,0.024132,0.014326,0.014096,0.0064353,0,0,0,0,0.078449,0.2047,0.19137,0.08228,0.073623,0.060676,0.05968,0.058454,0.07776,0.030338,0.023519,0.036007,0.018846,0.0042902,0,0,0,0,0,0,0
0.011185,0.084502,0.0963,0.092852,0.14403,0.10434,0.075998,0.075079,0.082127,0.057918,0.03233,0.029725,0.025128,0.022064,0.018923,0.016471,0.011262,0.013024,0.0067417,0,0.021451,0.14587,0.14456,0.15077,0.10051,0.077607,0.069256,0.066958,0.071784,0.043132,0.025205,0.024898,0.022524,0.014096,0.014709,0.0066651,0,0,0,0,0.079369,0.19988,0.18762,0.086877,0.071861,0.060752,0.062821,0.060676,0.076381,0.03141,0.022753,0.035394,0.019995,0.0042136,0,0,0,0,0,0,0
0.014096,0.083276,0.093235,0.093465,0.14395,0.10634,0.075845,0.076611,0.0868,0.052402,0.032253,0.029035,0.024898,0.021451,0.018999,0.017084,0.010419,0.01402,0.0058224,0,0.018923,0.14648,0.14502,0.15314,0.098828,0.078373,0.068184,0.068413,0.071937,0.042596,0.024975,0.024286,0.023366,0.014096,0.014633,0.0067417,0,0,0,0,0.086494,0.19053,0.19283,0.083506,0.072014,0.060446,0.064736,0.061518,0.073929,0.030951,0.023749,0.034015,0.019076,0.0062055,0,0,0,0,0,0,0
