@relation blinks4
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute clase {0, 1, 2}
@data
0,0.0086226,0.039306,0.021725,0.027884,0.031915,0.055207,0.092609,0.271,0.22038,0.12251,0.066629,0.016237,0.023628,0.0023516,0,0,0,0,0,0.0026876,0.027212,0.039194,0.03505,0.050168,0.1112,0.23214,0.24423,0.16719,0.052856,0.020381,0.016013,0.0016797,0,0,0,0,0,0,0,0.0067189,0.029787,0.053191,0.03953,0.11579,0.2813,0.2439,0.12945,0.067861,0.017805,0.013774,0.00089586,0,0,0,0,0,0,0,0,0
0,0.0082867,0.040761,0.021277,0.027436,0.031131,0.055879,0.094065,0.26685,0.22374,0.12116,0.063606,0.019149,0.023628,0.0030235,0,0,0,0,0,0.0032475,0.0243,0.044345,0.033259,0.047928,0.12016,0.22688,0.23942,0.16596,0.053415,0.022732,0.015901,0.0024636,0,0,0,0,0,0,0,0.0071669,0.028108,0.054087,0.041657,0.11892,0.28466,0.24267,0.1252,0.061702,0.017581,0.016909,0.0013438,0,0,0,0,0,0,0,0,0
0,0.0096305,0.040426,0.019821,0.028779,0.032923,0.055319,0.095633,0.26215,0.2234,0.12576,0.059686,0.021277,0.020941,0.0042553,0,0,0,0,0,0.0043673,0.022844,0.045801,0.032587,0.049608,0.12251,0.22385,0.23427,0.1682,0.054087,0.02374,0.014782,0.0033595,0,0,0,0,0,0,0,0.0083987,0.031691,0.052408,0.041321,0.1299,0.28959,0.23527,0.11691,0.06047,0.016573,0.01523,0.0022396,0,0,0,0,0,0,0,0,0
0,0.01075,0.041545,0.017021,0.028331,0.029339,0.057671,0.088802,0.27021,0.21825,0.12934,0.061702,0.020941,0.021613,0.0044793,0,0,0,0,0,0.0035834,0.023068,0.045465,0.034602,0.047816,0.12105,0.2243,0.23382,0.16853,0.055319,0.023852,0.01523,0.0033595,0,0,0,0,0,0,0,0.0078387,0.032363,0.053751,0.040202,0.1224,0.29115,0.23483,0.11646,0.065398,0.018141,0.015342,0.0021277,0,0,0,0,0,0,0,0,0
0,0.0089586,0.044905,0.015789,0.029899,0.027212,0.058679,0.10123,0.26484,0.21725,0.12408,0.061814,0.020829,0.020941,0.0035834,0,0,0,0,0,0.0029115,0.025308,0.045241,0.033707,0.05028,0.12083,0.22766,0.23046,0.16809,0.055095,0.02206,0.015342,0.0030235,0,0,0,0,0,0,0,0.0096305,0.043449,0.044457,0.037514,0.12072,0.29731,0.24087,0.11344,0.062374,0.01523,0.012878,0.0021277,0,0,0,0,0,0,0,0,0
0.00011198,0.0086226,0.046025,0.014782,0.032699,0.031915,0.059798,0.10269,0.25957,0.20941,0.12968,0.059015,0.020829,0.021277,0.0035834,0,0,0,0,0,0.0024636,0.023964,0.048376,0.03617,0.052408,0.12408,0.22038,0.23247,0.16428,0.054535,0.02206,0.016125,0.0026876,0,0,0,0,0,0,0,0.0055991,0.034043,0.060022,0.039642,0.12172,0.29485,0.2299,0.12161,0.059462,0.013998,0.016909,0.0022396,0,0,0,0,0,0,0,0,0
0.00033595,0.011534,0.042889,0.015566,0.033147,0.030795,0.059686,0.10672,0.25498,0.21019,0.12956,0.057783,0.022732,0.021277,0.0027996,0,0,0,0,0,0.0022396,0.02598,0.046361,0.038298,0.0514,0.1234,0.21904,0.23191,0.16842,0.052968,0.021613,0.016125,0.0022396,0,0,0,0,0,0,0,0.0070549,0.035834,0.056999,0.039978,0.12408,0.29272,0.2308,0.12217,0.057895,0.013998,0.016461,0.0020157,0,0,0,0,0,0,0,0,0
0,0.015006,0.043113,0.015789,0.033707,0.032475,0.059462,0.10594,0.26405,0.2037,0.1262,0.055319,0.02206,0.020717,0.0024636,0,0,0,0,0,0.0025756,0.027548,0.050392,0.035162,0.05028,0.12609,0.22363,0.23035,0.16428,0.049944,0.022396,0.015342,0.0020157,0,0,0,0,0,0,0,0.0089586,0.043001,0.056103,0.04804,0.13561,0.28197,0.22721,0.11041,0.056215,0.015342,0.015454,0.0016797,0,0,0,0,0,0,0,0,0
0.00022396,0.017357,0.041209,0.014894,0.036394,0.029563,0.059686,0.10784,0.26551,0.20258,0.12363,0.056327,0.02206,0.020269,0.0024636,0,0,0,0,0,0.0031355,0.028779,0.050168,0.034826,0.048488,0.13191,0.22184,0.22284,0.16629,0.05196,0.022844,0.015118,0.0017917,0,0,0,0,0,0,0,0.010078,0.047144,0.048264,0.046025,0.13908,0.29586,0.21781,0.11086,0.052408,0.01411,0.016013,0.0023516,0,0,0,0,0,0,0,0,0
0.00011198,0.016237,0.038298,0.016461,0.032587,0.030907,0.05991,0.10482,0.26417,0.20829,0.12408,0.057895,0.02262,0.021165,0.0024636,0,0,0,0,0,0.0036954,0.023628,0.05196,0.031243,0.051512,0.13057,0.2206,0.22699,0.16629,0.051064,0.02542,0.01523,0.0017917,0,0,0,0,0,0,0,0.006495,0.03561,0.056663,0.045801,0.13102,0.29451,0.22195,0.12105,0.053975,0.014558,0.016013,0.0023516,0,0,0,0,0,0,0,0,0
