@relation blinks1
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute clase {0, 1, 2}
@data
0.00016912,0.0046508,0.0076104,0.021647,0.023846,0.021816,0.059361,0.089041,0.18197,0.25376,0.11999,0.062912,0.035008,0.031879,0.022746,0.020041,0.01446,0.014544,0.0089633,0.0055809,0,0.001353,0.0087096,0.015643,0.044394,0.051328,0.087688,0.12929,0.27668,0.16117,0.083629,0.043802,0.027905,0.025368,0.016743,0.014291,0.0082023,0.0038052,0,0,0,8.4559e-05,0.0020294,0.017419,0.050567,0.07289,0.088111,0.15449,0.25977,0.17766,0.066887,0.039236,0.024691,0.017673,0.015136,0.0083714,0.0049044,8.4559e-05,0,0,0
0.0004228,0.0044817,0.0088787,0.023508,0.020802,0.02207,0.057331,0.088196,0.17901,0.26053,0.11898,0.061644,0.035769,0.031541,0.023338,0.019787,0.014713,0.014967,0.0084559,0.0055809,0,0.0012684,0.0091324,0.016827,0.042703,0.049806,0.087012,0.12997,0.27761,0.16303,0.081769,0.043802,0.028158,0.025706,0.01725,0.014121,0.007864,0.0039743,0,0,0,0,0.0021985,0.01539,0.054456,0.070945,0.085236,0.15322,0.26526,0.17614,0.06917,0.038052,0.024015,0.017419,0.015052,0.0082868,0.0050736,8.4559e-05,0,0,0
0.00050736,0.0038897,0.0077795,0.024776,0.020802,0.021647,0.059699,0.088872,0.17318,0.26188,0.11881,0.063335,0.037122,0.030019,0.024184,0.019702,0.014798,0.014713,0.0085405,0.00575,0,0.0014375,0.0079486,0.01928,0.040335,0.051243,0.086166,0.13115,0.2738,0.16447,0.081684,0.044309,0.02968,0.02486,0.016743,0.015136,0.0076949,0.0039743,8.4559e-05,0,0,0,0.0022831,0.015052,0.053188,0.0701,0.086504,0.1473,0.26865,0.17436,0.073482,0.038475,0.023592,0.019026,0.01353,0.009217,0.0050736,0.00016912,0,0,0
0,0.0035515,0.0082023,0.021224,0.024945,0.020125,0.058684,0.088957,0.17123,0.26569,0.11957,0.06232,0.038052,0.030357,0.023085,0.020125,0.014967,0.01446,0.0083714,0.0060883,0,0.00093015,0.0091324,0.016151,0.041519,0.051243,0.08439,0.13157,0.27524,0.16396,0.083376,0.044478,0.029596,0.025199,0.016066,0.015643,0.0070184,0.0043971,8.4559e-05,0,0,0,0.0016912,0.012515,0.048114,0.073398,0.083291,0.14654,0.27228,0.1769,0.07492,0.039574,0.022916,0.019618,0.014375,0.0081177,0.0055809,0.00016912,0,0,0
0.00016989,0.0043323,0.0084947,0.021916,0.023785,0.022681,0.060058,0.08894,0.17644,0.25612,0.12003,0.060992,0.037802,0.031006,0.02404,0.018349,0.015885,0.014271,0.0086646,0.0060313,0,0.0013592,0.0090894,0.016055,0.044003,0.051393,0.087751,0.12946,0.27803,0.15987,0.080955,0.043578,0.029986,0.02472,0.01665,0.015375,0.0075603,0.0041624,0,0,0,0,0.0026334,0.014611,0.051648,0.07297,0.087581,0.13914,0.27684,0.17176,0.07246,0.040435,0.022851,0.018349,0.014016,0.0084098,0.0062012,8.4947e-05,0,0,0
0.00016989,0.0040775,0.0089195,0.020897,0.023955,0.0237,0.057849,0.091148,0.17329,0.26104,0.11816,0.061332,0.037547,0.029052,0.025399,0.019283,0.0158,0.013846,0.0090044,0.0055216,0,0.0011043,0.0092593,0.01682,0.044258,0.052922,0.085627,0.13107,0.2805,0.15681,0.079681,0.043068,0.029817,0.025399,0.017159,0.014696,0.007985,0.0038226,0,0,0,0,0.0031431,0.014951,0.053857,0.073225,0.090809,0.1388,0.27727,0.16514,0.072375,0.038821,0.0237,0.020897,0.013931,0.0084098,0.0045872,8.4947e-05,0,0,0
0.00025484,0.0054366,0.0082399,0.021237,0.022511,0.022086,0.059208,0.08894,0.17966,0.25951,0.12012,0.058529,0.036612,0.030241,0.023955,0.019538,0.014951,0.014016,0.0094292,0.0055216,0,0.00084947,0.0090894,0.017329,0.042644,0.053432,0.088175,0.13048,0.27914,0.1642,0.074074,0.042559,0.029222,0.025229,0.017669,0.014016,0.0087496,0.0031431,0,0,0,0,0.0021237,0.014356,0.052243,0.074329,0.089704,0.14679,0.27132,0.17593,0.063965,0.03967,0.023785,0.020048,0.012572,0.0091743,0.0039925,0,0,0,0
0.00033979,0.0051818,0.0085797,0.021152,0.023361,0.021747,0.059633,0.0886,0.17703,0.26266,0.11536,0.062946,0.036273,0.030921,0.023445,0.018349,0.01563,0.014101,0.0094292,0.0052667,0,0.0013592,0.0084098,0.017244,0.043833,0.054621,0.087071,0.13422,0.27472,0.15953,0.079426,0.042644,0.028287,0.02438,0.018858,0.013167,0.009599,0.0026334,0,0,0,0.00025484,0.003228,0.014356,0.053262,0.074499,0.091913,0.1456,0.27421,0.16803,0.066599,0.037717,0.023276,0.020642,0.012317,0.0092593,0.004842,0,0,0,0
0.00034136,0.0053763,0.0089606,0.021591,0.022017,0.020823,0.063321,0.085168,0.18049,0.25934,0.11845,0.059566,0.036013,0.031405,0.023639,0.019031,0.016641,0.013484,0.0075952,0.0067418,0,0.00093873,0.0089606,0.01775,0.043181,0.055982,0.087558,0.13159,0.27599,0.1612,0.076208,0.042584,0.02893,0.025516,0.018519,0.013142,0.0073391,0.0046083,0,0,0,8.5339e-05,0.0036696,0.015276,0.051118,0.078256,0.09063,0.14883,0.26771,0.16667,0.068527,0.036781,0.023383,0.021591,0.012971,0.0081072,0.0062297,0.00017068,0,0,0
0.00034136,0.0048643,0.0090459,0.020481,0.023554,0.020225,0.061273,0.086875,0.18263,0.25909,0.11777,0.058628,0.037208,0.030551,0.023383,0.019543,0.016726,0.013228,0.0085339,0.0060591,0,0.0011094,0.0083632,0.018348,0.042584,0.054617,0.08696,0.13321,0.27419,0.16231,0.077317,0.043523,0.028588,0.02509,0.018689,0.012289,0.0089606,0.0038402,0,0,0,8.5339e-05,0.0040109,0.013825,0.052995,0.076549,0.094299,0.14593,0.26711,0.16914,0.06665,0.039512,0.022785,0.020652,0.012118,0.0083632,0.0059737,0,0,0,0
